퀘스트 ,Line,selectLine,캐릭터 이름 ,대사 ,팝업이벤트 ,스킵라인 ,퀘스트 상태,비고 ,,,,
마을 입주하기 ,1,0,안내원,어서 와! 메타 마을의 새로운 주민이 된 걸 환영해!,0,0,1,,,1->0,퀘스트 완료,안 끊
마을 입주하기 ,2,0,안내원 ,나는 너에게 이곳을 소개해 줄 마을 안내원이야.,0,0,1,,,0->1,퀘스트 시작,끊
마을 입주하기 ,3,0,안내원 ,자 이제 우리 마을을 구경시켜 줄게.,0,0,1,,,,,
마을 입주하기,4,0,안내원 ,이곳 메타 마을에서는 주민들이 금융 활동을 통해 금융 지식을 쌓을 때마다 ‘금융 에너지’가 쌓여.,0,0,1,,,,,
마을 입주하기,5,0,안내원 ,돈을 벌고 소비하는 것부터 주식 투자와 저축까지 다양한 금융 활동에 참여하면서 얻은 에너지가 마을 발전의 원동력이 돼.,0,0,1,,,,,
마을 입주하기,6,0,안내원 ,금융 지식은 마을에서 경제와 자산 관리에 대해 배우는 모든 정보야.,0,0,1,,,,,
마을 입주하기,7,0,안내원 ,뉴스나 퀴즈를 통해 얻을 수 있지.,0,0,1,"안 끊, 퀘스트 완",,1,[잘 지내보자.],
기사 읽기,8,0,안내원 ,이건 우리 메타 마을의 중요한 뉴스야! 이 소식이 마을에 어떤 영향을 미칠지 알면 앞으로 네 활동에 큰 도움이 될 거야. 한 번 읽어 봐!,0,0,0,"끊, 기사 읽기 퀘스트 발생",,2,,
기사 읽기,9,0,안내원 ,이렇게 쌓은 금융 지식은 너와 마을의 성장을 돕는 중요한 자원으로 활용될 거야!,0,0,1,"안 끊, 퀘스트 완",,3,,
소득의 주 수입원은 노동,10,0,안내원 ,이제 메타 마을에서 금융 활동을 하며 경제 활동에 참여할 차례야!,0,0,0,,,,,
소득의 주 수입원은 노동,11,0,안내원 ,마을의 경제는 우리가 하는 모든 금융 활동이란 예를 들어 돈을 벌고 소비하고 투자하는 모든 과정에서 성장해 나가.,0,0,0,,,,,
소득의 주 수입원은 노동,12,0,안내원 ,가장 먼저 중요한 건 '돈을 벌기 위한 방법'이야.,0,0,0,,,,,
